tick,population,births,deaths,moves,attacks,mean_internal_energy
111,3,0,0,0,0,16.96666666666653
112,3,0,0,1,0,16.599999999999866
113,3,0,0,1,0,16.233333333333203
114,3,0,0,1,0,15.866666666666534
115,3,0,0,1,0,15.499999999999867
116,3,0,0,1,0,14.79999999999987
117,3,0,0,1,0,14.099999999999872
118,3,0,0,1,0,13.39999999999987
119,3,0,0,0,0,12.866666666666537
120,3,0,0,1,0,12.499999999999872
121,3,0,0,1,0,12.133333333333205
122,3,0,0,1,0,11.76666666666654
123,3,0,0,1,0,11.399999999999872
124,3,0,0,1,0,11.033333333333205
125,3,0,0,1,0,10.66666666666654
126,3,0,0,1,0,10.299999999999875
127,3,0,0,1,0,9.933333333333207
128,3,0,0,1,0,9.56666666666654
129,3,0,0,1,0,9.199999999999873
130,3,0,0,1,0,8.833333333333208
131,3,0,0,1,0,8.46666666666654
132,3,0,0,1,0,8.099999999999875
133,3,0,0,1,0,7.733333333333207
134,3,0,0,1,0,7.366666666666542
135,3,0,0,1,0,6.999999999999875
136,2,0,1,1,0,10.04999999999991
137,2,0,0,0,0,9.849999999999909
138,2,0,0,0,0,9.64999999999991
139,2,0,0,0,0,9.44999999999991
140,2,0,0,0,0,9.249999999999911
141,2,0,0,0,0,9.049999999999912
142,2,0,0,0,0,8.84999999999991
143,2,0,0,0,0,8.649999999999912
144,2,0,0,0,0,8.449999999999912
145,2,0,0,0,0,8.249999999999911
146,2,0,0,0,0,8.049999999999912
147,2,0,0,0,0,7.849999999999913
148,2,0,0,0,0,7.649999999999913
149,2,0,0,0,0,7.449999999999913
150,2,0,0,0,0,7.249999999999914
151,2,0,0,0,0,7.049999999999914
152,2,0,0,0,0,6.849999999999914
153,2,0,0,0,0,6.649999999999915
154,2,0,0,0,0,6.449999999999915
155,2,0,0,0,0,6.249999999999916
156,2,0,0,0,0,6.0499999999999154
157,2,0,0,0,0,5.849999999999916
158,2,0,0,0,0,5.649999999999917
159,2,0,0,0,0,5.449999999999917
160,1,0,1,0,0,10.499999999999929
161,1,0,0,0,0,10.29999999999993
162,1,0,0,0,0,10.09999999999993
163,1,0,0,0,0,9.899999999999931
164,1,0,0,0,0,9.699999999999932
165,1,0,0,0,0,9.499999999999932
166,1,0,0,0,0,9.299999999999933
167,1,0,0,0,0,9.099999999999934
168,1,0,0,0,0,8.899999999999935
169,1,0,0,0,0,8.699999999999935
170,1,0,0,0,0,8.499999999999936
171,1,0,0,0,0,8.299999999999937
172,1,0,0,0,0,8.099999999999937
173,1,0,0,0,0,7.899999999999937
174,1,0,0,0,0,7.699999999999937
175,1,0,0,0,0,7.499999999999937
176,1,0,0,0,0,7.299999999999937
177,1,0,0,0,0,7.099999999999937
178,1,0,0,0,0,6.899999999999936
179,1,0,0,0,0,6.699999999999936
180,1,0,0,0,0,6.499999999999936
181,1,0,0,1,0,5.799999999999936
182,1,0,0,1,0,5.099999999999936
183,1,0,0,1,0,4.3999999999999355
184,1,0,0,1,0,3.6999999999999353
185,1,0,0,1,0,2.999999999999935
186,1,0,0,0,0,2.799999999999935
187,1,0,0,1,0,2.099999999999935
188,1,0,0,1,0,1.3999999999999349
189,1,0,0,1,0,0.6999999999999349
190,1,0,0,0,0,0.4999999999999349
191,1,0,0,0,0,0.2999999999999349
192,1,0,0,0,0,0.09999999999993486
193,0,0,1,0,0,0.0
