tick,population,births,deaths,moves,attacks,mean_internal_energy
8898,245,0,1,0,1,95.81
8899,245,0,0,0,0,95.83244897959185
8900,246,1,0,0,0,95.55466715819466
8901,245,0,1,0,1,95.77325763639138
8902,245,1,1,0,1,95.72395151394241
8903,245,1,1,0,1,95.79860457516689
8904,245,1,1,0,1,95.79922448979592
8905,246,1,0,0,0,95.52012195121951
8906,246,1,1,1,1,95.61926829268293
8907,246,1,1,0,1,95.75626016260163
8908,246,0,0,0,0,95.9359349593496
8909,246,1,1,0,1,95.57780487804878
8910,246,0,0,0,0,95.68939024390244
8911,246,0,0,2,0,95.82373983739838
8912,246,0,0,0,0,95.92638211382113
8913,248,2,0,0,0,95.25822580645162
8914,247,0,1,0,1,95.66271255060728
8915,245,0,2,1,2,96.01587755102041
8916,245,0,0,0,0,96.09975510204082
8917,244,0,1,0,1,96.2585655737705
8918,244,0,0,0,0,96.33274590163934
8919,243,0,1,0,1,96.78329218106995
8920,243,0,0,1,0,96.82551440329217
8921,243,0,0,0,0,97.03024691358024
8922,243,0,0,0,0,97.05534979423868
8923,242,0,1,0,1,97.49194214876033
8924,242,1,1,0,1,97.17995867768595
8925,241,0,1,1,1,97.47468879668048
8926,241,0,0,0,0,97.42593360995849
8927,241,0,0,0,0,97.53215767634855
8928,241,0,0,0,0,97.58319502074689
8929,240,0,1,1,1,97.63291666666667
8930,240,0,0,0,0,97.671875
8931,240,0,0,1,0,97.75541666666666
8932,240,0,0,0,0,97.82895833333333
8933,240,0,0,1,0,97.90145833333332
8934,241,2,1,0,1,97.20767634854772
8935,240,0,1,0,1,97.669375
8936,239,0,1,0,1,97.94560669456067
8937,239,0,0,0,0,97.87175732217572
8938,238,0,1,1,1,97.91239495798318
8939,239,1,0,0,0,97.54100418410042
8940,241,2,0,0,0,96.8545643153527
8941,241,0,0,0,0,96.95560165975104
8942,241,0,0,0,0,97.0039419087137
8943,240,0,1,0,1,97.075
8944,239,0,1,1,1,97.47112970711296
8945,239,0,0,0,0,97.49811715481171
8946,239,0,0,0,0,97.57949790794979
8947,239,0,0,0,0,97.68556485355649
8948,239,0,0,0,0,97.6560669456067
8949,240,1,0,2,0,97.33666666666666
8950,239,0,1,0,1,97.70640167364016
8951,240,1,0,0,0,97.39866666666667
8952,242,2,0,0,0,96.7309090909091
8953,242,0,0,2,0,96.78483471074381
8954,243,1,0,0,0,96.57543209876542
8955,242,0,1,0,1,96.90095041322314
8956,242,0,0,1,0,96.9848347107438
8957,243,1,0,0,0,96.70465020576131
8958,242,0,1,0,1,96.81809917355372
8959,242,0,0,0,0,96.85557851239669
8960,242,0,0,0,0,96.89586776859504
8961,242,1,1,1,1,96.60805785123966
8962,242,0,0,0,0,96.65764462809916
8963,243,1,0,1,0,96.30761316872427
8964,244,1,0,0,0,96.03155737704918
8965,244,0,0,1,0,96.09208583518416
8966,244,0,0,0,0,96.1936475409836
8967,244,1,1,0,1,96.17946721311476
8968,244,0,0,0,0,96.25959016393443
8969,245,1,0,0,0,95.98710204081632
8970,245,0,0,0,0,96.08138775510204
8971,246,1,0,0,0,95.76926829268292
