tick,population,births,deaths,moves,absorptions,mean_internal_energy
60,21,0,0,0,1,98.31158463426614
61,21,0,0,0,1,99.97587034855187
62,21,0,0,0,1,101.64015606283758
63,21,0,0,1,1,103.2092036818852
64,21,0,0,1,1,104.82587034855186
65,21,0,0,0,1,106.53777511045662
66,21,0,0,1,1,108.10682272950424
67,21,0,0,0,1,109.818727491409
68,21,0,0,0,1,111.4830132056947
69,21,0,0,0,1,113.14729891998043
70,20,0,1,0,1,120.55307200795043
71,20,0,0,0,0,122.15307200795044
72,20,0,0,0,0,123.70307200795041
73,20,0,0,0,0,125.25307200795041
74,20,0,0,1,0,126.50307200795041
75,20,0,0,0,0,128.05307200795042
76,21,1,0,1,1,123.5743542932861
77,21,0,0,1,1,125.04816381709563
78,21,0,0,0,1,126.52197334090516
79,22,1,0,0,2,122.54142909813673
80,22,0,0,1,2,123.85506546177311
81,22,0,0,0,2,125.25961091631854
82,22,0,0,1,2,126.34597455268218
83,22,0,0,1,1,127.65961091631853
84,22,0,0,0,1,129.24597455268216
85,23,1,0,0,2,125.49180174604382
86,23,0,0,0,2,127.00701913734817
87,23,0,0,1,2,128.21788870256555
88,23,0,0,0,2,129.55919305039163
89,23,0,0,0,2,130.77006261560902
90,23,0,0,1,1,131.8939756590873
91,22,0,1,1,1,139.2468001362921
92,22,0,0,1,0,140.78770922720122
93,22,0,0,2,0,142.10134559083755
94,22,0,0,1,0,143.64225468174664
95,22,0,0,0,0,145.41043649992847
96,22,0,0,0,0,147.0422546817466
97,22,0,0,0,0,148.67407286356482
98,22,0,0,0,0,150.30589104538296
99,22,0,0,0,0,151.93770922720117
100,22,0,0,1,0,153.3422546817466
101,23,1,0,0,1,148.5838957825402
102,23,0,0,0,1,150.14259143471412
103,23,0,0,1,1,151.44041752167064
104,23,0,0,0,1,152.99911317384453
105,23,0,0,1,1,154.38389578254018
106,23,0,0,0,1,155.72520013036626
107,24,1,0,1,2,150.68873345826765
108,24,0,0,1,2,151.97206679160098
109,24,0,0,1,2,153.42206679160097
110,24,0,0,1,2,155.03873345826764
111,24,0,0,0,2,156.9054001249343
112,24,0,0,0,2,158.77206679160096
113,23,0,1,0,2,167.62381590599313
114,22,0,1,1,0,177.25123471762916
115,22,0,0,0,0,179.29214380853827
116,22,0,0,0,0,181.1966892630837
117,22,0,0,0,0,183.0557801721746
118,22,0,0,0,0,184.77850744490186
119,22,0,0,0,0,186.45578017217457
120,23,1,0,0,1,180.17074625164526
121,23,0,0,0,1,181.46857233860175
122,23,0,0,0,1,182.59248538207999
123,23,0,0,0,1,183.54248538208
124,23,0,0,1,1,184.3620505994713
125,23,0,0,0,1,185.44248538207995
126,23,0,0,1,0,186.47944190381912
127,23,0,0,0,0,187.7772679907756
128,23,0,0,0,0,189.0750940777321
129,23,0,0,0,0,190.37292016468865
130,23,0,0,0,0,191.67074625164514
131,23,0,0,0,0,192.9685723386017
132,23,0,0,0,0,194.26639842555818
133,23,0,0,0,0,195.56422451251467
134,23,0,0,1,0,196.7750940777321
135,23,0,0,0,0,198.24683320816683
136,23,0,0,0,0,199.7185723386016
137,23,0,0,1,0,200.97292016468856
138,23,0,0,2,0,202.27074625164508
139,23,0,0,1,0,203.87292016468854
140,23,0,0,0,0,205.69248538207984
141,23,0,0,0,0,207.51205059947114
142,23,0,0,2,0,209.15770277338416
143,23,0,0,1,0,211.23813755599286
144,23,0,0,0,0,213.57944190381892
145,23,0,0,0,0,215.92074625164503
146,23,0,0,0,0,218.26205059947108
147,23,0,0,2,0,220.12509407773194
148,23,0,0,1,0,222.3794419038189
149,23,0,0,0,0,224.8077027733841
150,23,0,0,1,0,226.75770277338407
151,23,0,0,2,0,228.49031146903627
152,23,0,0,0,0,230.65770277338407
153,23,0,0,0,0,232.82509407773188
154,23,0,0,0,0,234.9924853820797
155,23,0,0,0,0,237.02944190381882
156,23,0,0,1,0,238.80552886034053
157,23,0,0,0,0,240.7990071212101
158,23,0,0,1,0,242.70552886034054
159,23,0,0,0,0,244.87292016468837
160,24,1,0,0,1,236.95529849115965
161,24,0,0,1,1,238.86363182449296
