tick,population,births,deaths,moves,absorptions,mean_internal_energy
2184,68,0,0,0,7,88.63285256910763
2185,68,0,0,0,7,88.58591020553354
2186,68,1,1,0,9,88.64445012736292
2187,68,0,0,0,7,88.44470804498626
2188,69,1,0,0,9,87.37340803185928
2189,68,0,1,0,9,88.79895249240354
2190,68,0,0,0,8,88.92015276611714
2191,68,0,0,0,8,88.9047795111652
2192,67,0,1,0,8,90.3021313775705
2193,68,1,0,0,7,89.05817180787493
2194,67,0,1,0,7,90.45240910528649
2195,67,0,0,0,5,90.6268924601682
2196,67,0,0,0,5,90.53177549157911
2197,67,0,0,0,5,90.63473239225733
2198,66,0,1,1,4,92.11366781908116
2199,67,1,0,1,5,90.76571867326301
2200,67,0,0,0,5,90.85494780858448
2201,68,1,0,0,6,89.65524308748972
2202,69,1,0,0,7,88.71049345929275
2203,70,1,0,0,10,87.27966159729326
2204,70,0,0,1,10,87.16689851420084
2205,70,0,0,1,10,87.2180429274647
2206,70,1,1,0,12,87.42517541749403
2207,70,0,0,0,9,87.31717018939528
2208,69,0,1,1,9,88.50393455009105
2209,68,0,1,1,9,89.69433112964825
2210,68,0,0,0,6,89.70230764029888
2211,68,0,0,0,7,89.89691926166526
2212,68,0,0,1,6,89.97963005445581
2213,67,0,1,2,5,91.04658465348935
2214,67,0,0,0,4,91.25294628774928
2215,68,1,0,0,5,90.0167023812646
2216,68,0,0,0,5,90.22297962321684
2217,68,0,0,0,5,90.17452703612159
2218,69,1,0,0,6,88.92226081388576
2219,69,0,0,0,6,89.05879047524637
2220,67,0,2,0,6,91.77497536315958
2221,67,0,0,0,4,91.8963836688213
2222,68,1,0,1,5,90.54035151921249
2223,69,1,0,0,6,89.25803248627889
2224,69,1,1,0,7,89.24151080255074
2225,69,0,0,0,6,89.56577843805643
2226,70,1,0,1,6,88.16078032902693
2227,69,0,1,0,6,89.35964230986455
2228,69,0,0,0,5,89.39820322853417
2229,70,1,0,0,7,88.23526349794774
2230,70,0,0,0,7,88.22800270737943
2231,70,0,0,0,7,88.2677414261245
2232,68,0,2,0,7,90.8365401830023
2233,69,1,0,0,5,89.79128657844366
2234,70,1,0,1,5,88.80223026744214
2235,70,0,0,0,5,88.9023833336991
2236,70,0,0,0,5,89.01563333722184
2237,70,0,0,0,5,89.2352654825449
2238,70,0,0,0,5,89.05529369855675
2239,70,0,0,0,5,89.10779160814333
2240,70,0,0,0,5,89.05385543398916
2241,70,1,1,0,6,89.24851811239925
2242,71,1,0,1,6,88.08369618158024
2243,72,2,1,0,8,87.13184332597513
2244,72,0,0,0,7,87.14349009371318
2245,72,0,0,0,7,87.06011505335205
2246,72,0,0,1,7,87.11349558065483
2247,73,1,0,0,8,86.01516108559186
2248,75,2,0,0,11,84.03812032335263
2249,75,0,0,0,11,84.17674146338288
2250,75,0,0,0,11,84.2240451891698
2251,75,0,0,0,11,84.38482188668556
2252,75,0,0,0,11,84.59338695750925
2253,75,0,0,0,11,84.52424202136386
2254,77,2,0,1,13,82.47513806541721
2255,76,0,1,0,13,83.52524945792423
2256,74,0,2,0,12,85.88606289514321
2257,74,0,0,0,9,86.0230623975999
2258,73,0,1,0,9,87.0425067188603
2259,75,2,0,0,11,84.91596901672409
2260,75,0,0,0,11,84.7756874061977
2261,76,1,0,0,12,83.72832216047873
2262,76,0,0,0,12,83.87445101765752
2263,76,0,0,0,12,83.93006990120556
2264,76,0,0,1,12,83.84682661420443
2265,76,1,1,0,13,83.93973997124765
2266,76,0,0,0,11,84.10587959070783
2267,76,0,0,0,11,84.02035633237455
2268,77,1,0,0,12,83.0188256705689
2269,77,0,0,0,12,82.9252365108302
2270,75,0,2,1,12,85.12325693932976
2271,75,0,0,1,11,85.38318590713017
2272,75,0,0,0,11,85.4332275073215
2273,74,0,1,0,11,86.46256114327664
2274,74,0,0,0,10,86.50273146752735
2275,74,0,0,0,10,86.47513437070576
2276,73,0,1,0,10,87.68417648255037
2277,73,0,0,1,9,87.77166917296483
2278,74,1,0,1,11,86.71480462790399
2279,74,0,0,0,10,86.6329456694927
2280,74,0,0,0,11,86.856109413795
2281,74,0,0,0,11,86.8212768423977
2282,73,0,1,0,11,88.14393216477613
2283,73,0,0,0,10,87.99268094281145
2284,71,0,2,0,10,90.44783001059068
2285,71,0,0,2,4,90.55460876989768
2286,71,0,0,0,4,90.77301420361051
2287,72,1,0,0,5,89.50375359419539
2288,72,0,0,0,5,89.66612758327614
2289,73,1,0,0,6,88.46459212570916
2290,72,0,1,0,6,89.82494866738578
2291,72,0,0,0,5,90.01707171659714
2292,72,0,0,0,5,89.81665352977784
2293,73,1,0,0,6,88.7892257195659
2294,74,1,0,0,7,87.80457559751486
2295,74,0,0,0,7,87.9659519580978
2296,75,1,0,0,8,86.8494972282674
2297,75,1,1,1,9,86.95213700780094
2298,76,1,0,0,9,85.89791182102344
2299,76,0,0,0,9,85.79924650748731
2300,74,0,2,0,9,88.21166548370539
2301,74,0,0,0,7,88.32340843200151
2302,74,0,0,0,7,88.46045320903063
2303,74,0,0,1,7,88.47797862727535
2304,72,0,2,0,7,90.83342326339049
2305,72,0,0,1,5,90.84415256915662
2306,71,0,1,0,5,92.19923976564482
2307,72,1,0,2,7,91.00627851761405
2308,72,0,0,0,7,91.04294327136101
2309,72,0,0,0,7,91.06061643584421
2310,71,1,2,0,8,92.46918991233669
2311,71,0,0,0,5,92.59629673046705
2312,72,1,0,0,6,91.28845707184001
2313,73,1,0,0,7,90.18178145912685
2314,74,1,0,0,8,89.06969159981432
2315,74,0,0,0,8,89.08106833669274
2316,75,1,0,0,9,87.92088022788656
2317,76,1,0,0,10,86.7249282352602
2318,75,0,1,1,10,88.01482943437321
2319,77,2,0,0,10,85.805751926871
2320,77,0,0,0,10,85.7764476318459
2321,77,0,0,0,10,85.91602381032371
2322,77,0,0,1,11,85.78437979493394
2323,76,0,1,1,11,86.73179544671125
2324,76,0,0,2,10,86.56506902744721
2325,74,0,2,0,10,88.72535199600024
2326,74,0,0,0,8,88.66215288331992
2327,75,1,0,0,9,87.59143777294837
2328,75,0,0,0,9,87.66245018220926
2329,75,0,0,0,9,87.69523786135855
2330,75,0,0,0,9,87.59997316821317
2331,74,0,1,0,9,88.68916057946576
2332,74,0,0,0,8,88.80383748432746
2333,74,0,0,1,8,88.69672756228469
2334,74,0,0,0,8,88.75322377429833
2335,74,0,0,0,8,88.66573297127002
2336,75,1,0,0,9,87.64385367776921
2337,76,1,0,0,10,86.37587336847092
2338,77,1,0,0,11,85.37454928585473
2339,77,0,0,1,11,85.37951198321292
2340,77,0,0,0,11,85.24654333851603
2341,79,2,0,0,14,83.21208576603182
2342,79,0,0,0,14,83.2345693605784
2343,78,0,1,0,14,84.23546458275162
2344,77,0,1,0,13,85.3554191731932
2345,76,0,1,0,12,86.25026629375448
2346,75,0,1,1,10,87.32856097003676
2347,75,0,0,0,9,87.46508276903911
2348,75,0,0,0,9,87.44814323988051
2349,75,0,0,0,9,87.77950330098341
